id,parent_id,language,segment_audio,full_audio,lyrics_file,features,youtube,title,artist
english_0001_seg0,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg0.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0001_seg1,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg1.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0001_seg2,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg2.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0001_seg3,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg3.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0001_seg4,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg4.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0001_seg5,english_0001,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0001_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0001.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0001.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0001_seg5.npy,ytsearch1:Anti-Hero - Taylor Swift Official Audio,Anti-Hero - Taylor Swift,Taylor Swift
english_0002_seg0,english_0002,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0002_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0002.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0002.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0002_seg0.npy,ytsearch1:Cruel Summer - Taylor Swift Official Audio,Cruel Summer - Taylor Swift,Taylor Swift
english_0002_seg1,english_0002,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0002_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0002.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0002.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0002_seg1.npy,ytsearch1:Cruel Summer - Taylor Swift Official Audio,Cruel Summer - Taylor Swift,Taylor Swift
english_0002_seg2,english_0002,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0002_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0002.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0002.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0002_seg2.npy,ytsearch1:Cruel Summer - Taylor Swift Official Audio,Cruel Summer - Taylor Swift,Taylor Swift
english_0002_seg3,english_0002,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0002_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0002.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0002.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0002_seg3.npy,ytsearch1:Cruel Summer - Taylor Swift Official Audio,Cruel Summer - Taylor Swift,Taylor Swift
